epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
19,786.437,1.45481,0.93248,1.25352,0.76194,0.67663,0.72119,0.4333,1.38743,0.75723,1.25273,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
19,770.468,1.45481,0.93248,1.25352,0.76194,0.67663,0.72119,0.4333,1.38743,0.75723,1.25273,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,1541.07,1.45013,0.92712,1.25524,0.76201,0.6778,0.72385,0.43537,1.38437,0.75379,1.25132,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,2313.03,1.44973,0.92411,1.24854,0.76742,0.67695,0.72652,0.43737,1.38127,0.74967,1.24993,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,769.869,1.42245,0.89795,1.23569,0.7767,0.6759,0.72797,0.43859,1.38008,0.74622,1.24885,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,1540.35,1.42961,0.90416,1.2398,0.77622,0.67624,0.73044,0.43996,1.37759,0.74345,1.24673,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,2315.19,1.4329,0.90488,1.23596,0.78437,0.67526,0.73277,0.44225,1.37452,0.73919,1.24446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,3088.42,1.42305,0.8955,1.2307,0.77928,0.67984,0.7357,0.44455,1.37134,0.73415,1.24191,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,3860.27,1.41439,0.88626,1.22404,0.78893,0.67777,0.73771,0.44712,1.36708,0.72969,1.23922,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,4632.05,1.40602,0.87453,1.22034,0.77104,0.687,0.74003,0.44991,1.36211,0.7249,1.23555,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,5405.76,1.39231,0.86578,1.2151,0.77707,0.69189,0.74258,0.4528,1.35787,0.71998,1.23277,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,6183.1,1.39009,0.85677,1.20891,0.77686,0.69735,0.74563,0.45482,1.35323,0.71654,1.22916,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,6957.27,1.38087,0.84864,1.2064,0.77992,0.70247,0.74936,0.45814,1.34821,0.71257,1.22563,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,7730.35,1.37085,0.84065,1.1989,0.78575,0.7046,0.75231,0.46097,1.34298,0.70829,1.22186,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,8509.31,1.36977,0.83675,1.19672,0.7913,0.70316,0.75515,0.46341,1.33838,0.70357,1.21879,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,9287.12,1.35245,0.8243,1.1913,0.79185,0.70693,0.7584,0.4662,1.33454,0.70045,1.21583,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,10059.3,1.34733,0.81664,1.18788,0.80041,0.70643,0.76197,0.46939,1.32955,0.6961,1.21257,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,10832.2,1.33915,0.80837,1.18379,0.79756,0.71299,0.76512,0.47342,1.32428,0.69179,1.20921,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,11609.7,1.32974,0.80059,1.17821,0.80107,0.71621,0.76826,0.47565,1.32077,0.68808,1.20669,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,12387.4,1.32666,0.7963,1.1753,0.80192,0.72026,0.77165,0.47831,1.31605,0.68405,1.20374,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,13159.9,1.31598,0.78458,1.17036,0.80532,0.72123,0.77469,0.48107,1.31169,0.68013,1.20086,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,13936.4,1.30068,0.77285,1.16118,0.80849,0.72384,0.77806,0.48347,1.30771,0.67687,1.19784,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,14712.4,1.29048,0.76431,1.15619,0.81126,0.72701,0.78101,0.48596,1.30394,0.6726,1.19501,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,15495.4,1.26574,0.70612,1.16907,0.81537,0.72964,0.78544,0.49042,1.29569,0.6683,1.19085,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,16268.6,1.247,0.6898,1.15965,0.8194,0.73395,0.78941,0.49472,1.28804,0.66336,1.18686,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,17045.9,1.22842,0.6767,1.1509,0.82754,0.7356,0.79426,0.49911,1.28066,0.65897,1.18338,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,17822,1.21188,0.66211,1.14428,0.82844,0.74225,0.79903,0.50351,1.27292,0.65404,1.17991,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,18602.4,1.19956,0.65039,1.13425,0.83047,0.74873,0.80377,0.50749,1.26618,0.64889,1.17665,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,19377.1,1.18056,0.63603,1.12634,0.83738,0.75118,0.80784,0.51226,1.25987,0.64423,1.1736,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,20155.2,1.1655,0.62604,1.11999,0.8338,0.75762,0.81232,0.51656,1.25372,0.63949,1.17065,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,20933.4,1.14586,0.61256,1.10879,0.82957,0.76537,0.81672,0.52009,1.24732,0.63491,1.1675,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,21714,1.13182,0.60127,1.10119,0.83671,0.76994,0.82151,0.52457,1.24147,0.63057,1.16451,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,22490.1,1.11575,0.5924,1.09568,0.84086,0.77259,0.82505,0.52784,1.23601,0.62634,1.16195,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
